"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"14-ZHRD-L-RF1.txt","ZH_R_D_14_L","14","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"14-ZHRE-L-LF1.txt","ZH_R_E_14_L","14","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"14-ZHRE-L-RF1.txt","ZH_R_E_14_L","14","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"14-ZHUA-L-LF1.txt","ZH_U_A_14_L","14","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"14-ZHUA-L-RF1.txt","ZH_U_A_14_L","14","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"14-ZHUC-L-LF1.txt","ZH_U_C_14_L","14","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"14-ZHUC-L-RF1.txt","ZH_U_C_14_L","14","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"15-ZHRD-L-LF1.txt","ZH_R_D_15_L","15","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"15-ZHRD-L-RF1.txt","ZH_R_D_15_L","15","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"15-ZHRE-L-LF1.txt","ZH_R_E_15_L","15","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"15-ZHRE-L-RF1.txt","ZH_R_E_15_L","15","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"15-ZHUA-L-LF1_rep.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"15-ZHUA-L-LF1.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"15-ZHUA-L-LF2.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
"15-ZHUA-L-RF1_rep.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
"15-ZHUA-L-RF1.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"15-ZHUA-L-RF2.txt","ZH_U_A_15_L","15","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"16-ZHRE-L-LF1.txt","ZH_R_E_16_L","16","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"16-ZHRE-L-RF1.txt","ZH_R_E_16_L","16","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
